<UserID>	<ArtistID>	<Count>
0	21586	3
0	11805	1
0	1506	3
0	17121	29
0	22739	2
0	22917	2
0	9788	5
0	21762	20
0	4572	1
0	4033	2
0	6748	1
0	4064	5
0	18741	2
0	23099	2
0	13419	3
0	21513	1
0	32009	1
0	14986	2
0	24317	1
0	4839	7
0	8728	5
0	18684	11
0	32062	6
0	19332	1
0	16990	1
0	20132	1
0	8630	4
0	25866	1
0	2048	2
0	14056	71
0	18025	151
0	31373	15
0	10693	1
0	13428	14
0	8005	2
0	3682	3
0	3880	5
0	23024	3
0	26522	81
0	29000	3
0	18030	1
0	3203	1
0	28871	1
0	4583	2
0	21402	1
0	10932	11
0	15811	34
0	4981	45
0	15669	1
0	26891	5
0	5603	6
0	31751	1
0	1162	68
0	17789	3
0	11707	41
0	26009	18
0	6761	1
0	25235	9
0	16670	11
0	17518	25
0	22430	1
0	27272	1
0	10028	1
0	24198	8
0	24736	3
0	32285	11
0	7665	1
0	11209	1
0	14718	8
0	23794	10
0	22848	5
0	32315	3
0	26896	33
0	11970	124
0	20818	7
0	6524	48
0	22460	4
0	6402	1
0	9144	8
0	3457	12
0	19280	65
0	9516	54
0	26649	115
0	9381	16
0	32143	9
0	20535	10
0	19153	23
0	20864	2
0	10996	3
0	11478	7
0	25387	3
0	18184	1
0	28380	26
0	21531	2
0	13609	2
0	19798	7
0	11727	36
0	24230	3
0	24078	10
0	26512	1
0	8356	47
0	6759	9
0	9716	14
0	25279	2
0	1059	4
0	32756	6
0	10418	14
0	27632	6
0	1549	6
0	22340	8
0	16736	4
0	7947	1
0	6917	23
0	9787	35
0	17919	112
0	4411	5
0	16095	25
0	3162	6
0	10961	1
0	21942	1
0	20670	10
0	24851	1
0	7275	4
0	51	7
0	19041	39
0	26552	9
0	32562	12
0	5768	1
0	19813	4
0	558	1
0	24902	1
0	14616	1
0	11493	5
0	24093	3
0	22082	35
0	16233	8
0	20420	1
0	14749	11
0	28773	2
0	32567	10
0	28275	2
0	24768	4
0	18466	20
0	20956	1
0	1166	11
