<UserID>	<ArtistID>	<Count>
0	11805	1
0	1506	2
0	17121	25
0	22917	1
0	21762	12
0	4572	1
0	4033	2
0	4064	5
0	18741	2
0	23099	2
0	21513	1
0	14986	2
0	4839	6
0	8728	5
0	32062	4
0	16990	1
0	20132	1
0	8630	4
0	14056	63
0	18025	149
0	31373	14
0	3682	3
0	3880	5
0	26522	81
0	18030	1
0	3203	1
0	28871	1
0	4583	2
0	21402	1
0	10932	11
0	15811	22
0	4981	44
0	15669	1
0	26891	5
0	5603	6
0	31751	1
0	1162	68
0	17789	3
0	11707	39
0	26009	18
0	6761	1
0	16670	7
0	17518	13
0	27272	1
0	10028	1
0	24736	3
0	32285	11
0	14718	8
0	23794	9
0	22848	5
0	32315	3
0	26896	29
0	11970	120
0	6524	48
0	22460	4
0	6402	1
0	9144	8
0	3457	10
0	19280	11
0	9516	53
0	26649	109
0	20535	10
0	19153	17
0	20864	2
0	10996	3
0	11478	7
0	25387	1
0	18184	1
0	28380	24
0	21531	2
0	13609	2
0	19798	6
0	11727	35
0	24078	10
0	8356	42
0	6759	9
0	9716	14
0	25279	2
0	1059	4
0	32756	6
0	10418	2
0	27632	6
0	1549	6
0	22340	8
0	6917	6
0	9787	30
0	17919	98
0	4411	5
0	3162	6
0	21942	1
0	20670	10
0	19041	37
0	26552	6
0	32562	11
0	5768	1
0	19813	1
0	558	1
0	24902	1
0	14616	1
0	11493	1
0	24093	3
0	22082	34
0	16233	8
0	14749	11
0	28773	2
0	32567	10
0	28275	2
0	24768	4
0	20956	1
0	1166	3
0	24907	7
0	22482	1
0	21316	17
0	18306	8
0	2314	4
0	26186	7
0	26052	1
0	18679	20
0	18212	40
0	6799	1
0	17059	8
0	15848	3
0	26056	20
0	31424	9
0	26731	1
0	16711	1
0	4219	5
0	18944	1
0	4285	3
0	17656	8
0	20967	2
0	30593	5
0	4127	20
0	8904	50
0	24386	5
0	22755	1
0	24388	12
0	10850	15
0	24249	10
0	9546	4
0	26972	9
0	3741	26
0	27917	14
0	21460	8
0	22904	15
0	25717	8
0	13185	23
0	21704	6
0	6056	112
0	2248	18
0	21706	12
0	11819	9
0	4954	1
0	31195	1
0	20341	5
0	2623	7
0	5032	11
0	27444	104
0	31954	17
0	9011	1
0	4651	1
0	24401	3
0	22114	11
0	32479	4
0	2500	39
0	16533	30
0	4520	14
0	3373	20
0	4522	11
0	31959	1
0	4658	7
0	3813	6
0	10266	6
0	17718	26
0	32426	2
0	5164	1
0	29345	1
0	21593	46
0	7862	1
0	1856	6
0	15457	10
0	9837	3
0	15030	10
0	10822	67
0	6966	6
0	11277	2
0	19596	1
0	21585	13
0	5440	1
0	11154	6
0	18705	13
0	11281	16
0	32369	4
0	15335	33
0	29098	1
0	28075	8
0	26956	6
0	15469	1
0	14803	16
0	19226	1
